,ntrials,n_iters,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit
64,500,1000,0.06332692983718209,10,-5,0.05,1,-1,10.940488118522419,-5.280604444877763,8.037844102974378e-06,1.2238132511331528,-0.7023358076222441
65,5000,1000,0.08451885484485964,10,-5,0.05,1,-1,10.255019281954434,-5.082868941759311,0.0831186152687424,0.8945565798784625,-1.0433035994638538
66,500,200,0.12794040809005905,10,-5,0.05,1,-1,10.011764657184711,-5.284737943094514,0.02811614458089908,0.9232301593910128,-0.7083065998187233
67,5000,200,0.1287644909603571,10,-5,0.05,1,-1,10.463396719128397,-5.303110425304783,0.3745579785491728,1.131969284100289,-0.8461825997429344
68,500,500,0.11178368236427144,10,-5,0.05,1,-1,9.733173491232472,-4.847338018766594,0.00010112568315515178,0.9133155321569907,-0.6344134753716778
69,5000,500,0.1301488832133979,10,-5,0.05,1,-1,10.428943787516827,-5.276057425560839,0.30872613949924965,1.1264065349453551,-0.8246185839574229
70,500,1000,0.10936131834369832,10,-5,0.05,1,-1,9.92358021409301,-4.907071389551488,1.0839203279280103e-05,0.9264814207087632,-0.6595172172743854
71,5000,1000,0.13017460145037876,10,-5,0.05,1,-1,10.331906967044374,-5.161161278566947,0.05608836268090372,1.119666612511724,-0.8008175026016994
72,500,200,0.05776385415154671,10,-5,0.05,1,-1,8.96441496051154,-4.370947616934226,0.027200753099052313,0.6941034447522737,-0.9802096601579305
73,5000,200,0.07836813026255593,10,-5,0.05,1,-1,10.071116146941774,-4.990596408073932,0.6781360124088549,1.0083133400386286,-1.0656599281651489
74,500,500,0.08225662669641284,10,-5,0.05,1,-1,8.893987013482278,-4.568228444118761,0.00012293059182974137,0.7057531016593629,-0.9003315743172661
75,5000,500,0.09157820259065207,10,-5,0.05,1,-1,10.02490387331992,-5.01930419378413,0.33989580236542444,1.0036915103008754,-1.049776858528065
76,500,1000,0.4938926850404325,10,-5,0.05,1,-1,9.08940475274782,-3.9084167011458146,8.953711095898553e-06,0.7001742228904121,-0.9191269846953413
77,5000,1000,0.11967572123529192,10,-5,0.05,1,-1,9.880726478515069,-5.079330598367238,0.03485232507451109,0.9937854591085613,-1.0387458592594938
78,500,200,1.9010037206002026,10,-5,0.05,1,-1,11.29571376936262,-4.265418359935002,0.004876792672276588,1.2333129346936709,-1.6226931450898956
79,5000,200,0.08270156071649847,10,-5,0.05,1,-1,10.315366341858038,-5.244357288998984,0.8041270415505386,1.0493050280909872,-0.9461779533722284
80,500,500,1.3164760536734799,10,-5,0.05,1,-1,11.25342631869451,-4.414135591137628,1.8546939752032168e-05,1.1949399097097295,-1.6461707511619619
81,5000,500,0.18348413383990278,10,-5,0.05,1,-1,10.156614774309952,-5.4214819067727325,0.300175455296404,1.038247131157785,-0.879537415893815
82,500,1000,3.6845019436884203,10,-5,0.05,1,-1,10.955459262471553,-3.5380423567968426,1.7108186031002366e-05,1.193366896877567,-1.6017254371240206
83,5000,1000,0.15611345349286312,10,-5,0.05,1,-1,10.049934999873436,-5.36872034647232,0.11431972410209237,1.0248176617489337,-0.8512507635033248
84,500,200,0.029755898693683478,10,-5,0.05,1,-1,10.534313781866514,-5.596892200224736,0.027686726894506533,0.8318155772711682,-0.9825155316070047
85,5000,200,0.0912395743063339,10,-5,0.05,1,-1,11.232620473754789,-5.772387598499981,0.39974377147685314,1.0924372681721004,-1.147384883526515
86,500,500,0.02489231309368916,10,-5,0.05,1,-1,10.301970855791861,-5.433135968583183,5.930857646576916e-05,0.8090392589440609,-0.9356500274878442
87,5000,500,0.10943491725192757,10,-5,0.05,1,-1,10.7560065984723,-5.14364674608966,0.08465898488152125,1.0404332899558153,-1.1033127335817177
88,500,1000,0.02486288687346709,10,-5,0.05,1,-1,10.324208313289876,-5.53371330556283,2.0947945762974315e-05,0.806882523096061,-0.9559959655748194
89,5000,1000,0.07578880942098513,10,-5,0.05,1,-1,10.288400312248932,-5.132887719784939,0.0277017374356482,1.0043869207220855,-1.0466518203522417
90,500,200,0.5285022018653006,10,-5,0.05,1,-1,11.008532167305072,-6.398700736753376,0.025692407003777246,0.6062516429198265,-1.5137964736715919
91,5000,200,0.15680214714019558,10,-5,0.05,1,-1,9.970685206175535,-5.192843814770381,0.3390610900019447,0.9865949622839107,-1.0440191919471289
92,500,500,0.31411437461679237,10,-5,0.05,1,-1,10.708084851981328,-6.229110765289608,6.35590590921243e-05,0.668841319758043,-1.4689151109799887
93,5000,500,0.25954056787106594,10,-5,0.05,1,-1,9.59224358213498,-5.167806565625446,0.12447765205645736,0.9538858462670252,-1.0192926764464607
94,500,1000,0.11951914431967665,10,-5,0.05,1,-1,11.009293029874446,-5.810309031901549,1.206762931510527e-05,0.6884874079339104,-1.502496046537014
95,5000,1000,0.08859273735832761,10,-5,0.05,1,-1,9.44836894020486,-4.726151739770781,0.07358413164686767,0.9378616451613828,-0.9983710144528618
96,500,200,0.06068113798971979,10,-5,0.05,1,-1,11.044477433575913,-5.556511674674791,0.013340151274419362,0.8940073154428975,-0.39732972104434244
97,5000,200,0.24357043709580997,10,-5,0.05,1,-1,10.996442960470006,-5.320258807537677,0.3072493750486467,1.0466933572232322,-1.2024924815784268
98,500,500,0.495414098646847,10,-5,0.05,1,-1,11.132221671977446,-4.6625974299984,1.6000350269422905e-05,0.9053987548546458,-0.39584814972073934
99,5000,500,0.22852292767600108,10,-5,0.05,1,-1,10.378474278243838,-5.666294971599753,0.09543689185776447,0.9984652816567715,-1.121323529340998
100,500,1000,0.08538879879148381,10,-5,0.05,1,-1,10.872049294184503,-5.1688858241219755,1.1214680667913958e-05,0.907341837644053,-0.37914198996630843
101,5000,1000,0.111992051814439,10,-5,0.05,1,-1,10.214027126650041,-5.231569693822675,0.03850514164122838,0.9724527016268718,-1.0926910177296547
