,ntrials,n_iters,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit
34,500,1000,0.12233768610527601,10,-5,0.05,1,-1,9.76191426808582,-5.140478293597474,1.458793868198924e-05,0.9597324839516523,-0.4406346380819871
35,5000,1000,0.8964458028611035,10,-5,0.05,1,-1,10.607038483816435,-6.215364307739453,0.03657248191538389,1.0599972776175355,-1.2253834387685558
36,500,200,0.5400282670207458,10,-5,0.05,1,-1,9.78930642468295,-4.11367749797292,0.00868023114680069,1.0312061054807948,-1.2758016410371138
37,5000,200,0.20013922970232972,10,-5,0.05,1,-1,10.39487090272929,-4.946777281036447,0.4503693982231705,1.1305222105941792,-0.7621269254495848
38,500,500,0.029944796392948544,10,-5,0.05,1,-1,9.702705736144868,-4.904800833655969,0.00017998891023342855,1.0301374997298471,-1.3255994173409087
39,5000,500,0.5072484852332937,10,-5,0.05,1,-1,10.42055795718743,-4.65126985725514,0.11831725903212637,1.1334304615706563,-0.7505044347885779
40,500,1000,0.043335729740556606,10,-5,0.05,1,-1,9.900202433065065,-4.955421087735306,1.980351778237076e-05,1.0341343463037167,-1.3051412665380915
41,5000,1000,0.9893739700332946,10,-5,0.05,1,-1,10.294276860091752,-4.2810510373426105,0.058818679711715276,1.1213229103955316,-0.739729098864343
42,500,200,0.05479438363012069,10,-5,0.05,1,-1,10.043899853648014,-5.1221255417757625,0.04160032520924513,1.171838573258858,-1.4588224147754405
43,5000,200,0.1040855316052932,10,-5,0.05,1,-1,10.80323206795761,-5.595176806480869,0.4403887233749012,1.1399314689333286,-1.0880301882050547
44,500,500,0.04647022571766336,10,-5,0.05,1,-1,9.79070971342232,-4.6597078934327385,0.00012803614958625126,1.1316045709800462,-1.4337545519369097
45,5000,500,0.16313737443642706,10,-5,0.05,1,-1,10.72642324486639,-5.64723766564514,0.3572174014070537,1.1158004819098233,-1.0587219481344892
46,500,1000,0.044019993043386774,10,-5,0.05,1,-1,10.008062575011708,-5.008648338489524,1.2787275401182173e-05,1.1789102097149473,-1.4389431639249841
47,5000,1000,0.2716552574908194,10,-5,0.05,1,-1,10.557531383817027,-5.73733080262172,0.08520758153018648,1.0981635834613368,-1.018922057500618
48,500,200,0.8236650015784667,10,-5,0.05,1,-1,9.690462943969766,-5.60179855445804,0.003975555620917708,1.1490154393722005,-1.2946060086581848
49,5000,200,0.1590669120407857,10,-5,0.05,1,-1,11.275055045985502,-5.619241001136878,0.40091596429251614,1.070575140541162,-1.1182331270229304
50,500,500,4.444100032714505,10,-5,0.05,1,-1,9.854721598167336,-7.231811526342564,1.4805716750045162e-05,1.1712087878520954,-1.303922567860686
51,5000,500,0.18951880808552665,10,-5,0.05,1,-1,11.112726778155924,-5.494152456317677,0.2373303210383319,1.0549172520010954,-1.0036312265179435
52,500,1000,0.16911806447608815,10,-5,0.05,1,-1,9.691423009372224,-5.221940782176664,9.207980594971644e-06,1.1675510169630718,-1.2636543562120852
53,5000,1000,0.13102043825524137,10,-5,0.05,1,-1,10.601495343000598,-5.443389146510215,0.1140850871173643,1.0123504787105437,-0.9340561720707501
54,500,200,0.05659928783849725,10,-5,0.05,1,-1,10.98767051737651,-5.718913544951301,0.013896272117010711,1.1641424167990366,-1.443890480852978
55,5000,200,0.10457663476000287,10,-5,0.05,1,-1,9.865833786338255,-4.772232262102904,0.35603489906522734,1.0316384905322007,-1.018258426544673
56,500,500,0.05338956962131875,10,-5,0.05,1,-1,11.077063926292126,-5.678694936699724,0.00011697262760415043,1.1681874342396474,-1.4557305711619468
57,5000,500,0.160550591576332,10,-5,0.05,1,-1,9.875467437701506,-4.660959134887769,0.08516329685829797,1.0403987300333688,-0.995759990079486
58,500,1000,0.05403776761310976,10,-5,0.05,1,-1,10.90587743678871,-5.350610368700781,1.5217261156746658e-05,1.1439850716914615,-1.3776529110496323
59,5000,1000,0.6104780313474748,10,-5,0.05,1,-1,9.853286680760496,-4.197725097389968,0.039760939065464566,1.0287800867521608,-1.0000559411328773
60,500,200,0.29637589231274114,10,-5,0.05,1,-1,11.723521528030242,-4.922700263120115,0.0026449309668284933,1.1853633094568212,-0.39198555642722177
61,5000,200,0.1828848329321498,10,-5,0.05,1,-1,11.074743784971211,-5.803799853425105,0.468921771345578,1.0052541477509578,-1.2112435465132845
62,500,500,0.11872725893799031,10,-5,0.05,1,-1,11.555929491152027,-5.537283667089795,2.1477328163429293e-05,1.2144942324422776,-0.31466183432038336
63,5000,500,0.23534899583955357,10,-5,0.05,1,-1,10.80428926139316,-5.782698403518934,0.24535452942328856,0.9847482659269012,-1.216748677380876
64,500,1000,0.09775610034099018,10,-5,0.05,1,-1,11.594543535159012,-5.501056371975438,8.306302296022795e-06,1.214250793567849,-0.33768728066591763
65,5000,1000,0.0780859432299294,10,-5,0.05,1,-1,10.36622260641721,-5.1535446310031015,0.04502475051303567,0.93882276917091,-1.1715611407494426
66,500,200,1.032416297367559,10,-5,0.05,1,-1,10.35118722610873,-4.220345726366112,0.025921676429811157,0.8506476296087655,-1.2110171325168382
